analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
40,20,false,,0.14123561379078228,0.14635735738853164,0.0018528046516953223,9,8,2.0,34.0,0.5082994049483245,0.013466958972752897,0.2642,45,2070,0.15,0.25,30
50,25,true,,0.15238698249300456,0.3702133384407954,0.2223238500691051,38,39,9.0,48.0,0.9384068700029612,0.1465798045602606,0.226,45,2070,0.15,0.25,30
20,10,false,,0.18231782220931633,0.133200400024164,-0.062123811854208094,7,3,1.0,19.0,0.4084690553745928,0.0,0.2804,46,2071,0.15,0.25,30
30,15,false,,0.12922834165892866,0.1603431509144269,0.042637998327273094,20,26,4.0,29.0,0.5827751196172248,0.1569377990430622,0.2898,46,2071,0.15,0.25,30
40,20,false,,0.15437384517903044,0.1720556777794076,0.0556515003472787,19,34,1.0,39.0,0.5801477674269194,0.15868936716993254,0.2558,46,2071,0.15,0.25,30
50,25,true,,0.1528033603068237,0.28981164140169563,0.19060660795459522,35,46,5.0,49.0,0.9148616125150422,0.043922984356197355,0.244,46,2071,0.15,0.25,30
20,10,false,,0.20754397175067804,0.22978916391326434,0.059098237414454774,14,16,1.0,19.0,0.5741353383458646,0.0,0.3036,47,2072,0.15,0.25,30
30,15,false,,0.1979672593639899,0.17979765939789216,-0.03455498730716525,16,3,1.0,29.0,0.41790193842645385,0.13683010262257697,0.2686,47,2072,0.15,0.25,30
40,20,false,,0.45820502949902375,0.17092188805237846,-0.2911098176009437,3,2,1.0,21.0,0.12032786885245901,0.0075409836065573775,0.1954,47,2072,0.15,0.25,30
50,25,false,,0.1878537385274114,0.2063003526130321,0.0337634089157874,20,2,1.0,48.0,0.618218161050828,0.08566533409480297,0.2292,47,2072,0.15,0.25,30
60,30,false,,0.20726196015699594,0.1871763170856886,-0.027268852198607252,6,1,1.0,17.0,0.43575243480992776,0.0,0.212,47,2072,0.15,0.25,30
20,10,false,,0.22511316600157194,0.18861721824795974,-0.06624121076823553,9,4,1.0,19.0,0.4086483390607102,0.0,0.3212,48,2073,0.15,0.25,30
30,15,false,,0.18626345937468292,0.23225941632935213,0.08445860032926308,23,28,1.0,29.0,0.6123936816524909,0.26883353584447145,0.2602,48,2073,0.15,0.25,30
40,20,false,,0.19040670958055222,0.21933308266201856,0.07416544770057495,26,36,1.0,39.0,0.602880658436214,0.10640799529688419,0.2396,48,2073,0.15,0.25,30
50,25,true,,0.18537353493085254,0.3692415196005939,0.18679181772076153,41,44,26.0,49.0,0.8774509803921569,0.08932461873638345,0.2364,48,2073,0.15,0.25,30
20,10,true,,0.1617141141521437,0.5350658021352237,0.3922130248168855,15,17,2.0,19.0,0.896095717884131,0.0,0.2866,49,2074,0.15,0.25,30
20,10,false,,0.1575521005695485,0.15733742917540408,0.0002825121363798089,11,15,1.0,19.0,0.5006093845216332,0.0,0.3162,50,2075,0.15,0.25,30
30,15,false,,0.15791900673422157,0.1739638212602497,0.028828061190256243,19,26,2.0,29.0,0.5542168674698795,0.17639789928946556,0.27,50,2075,0.15,0.25,30
40,20,true,,0.1566832082813498,0.28295661119723015,0.15024171257398658,33,36,6.0,39.0,0.7824675324675324,0.3299881936245573,0.2416,50,2075,0.15,0.25,30
